"","pp_no","condition","bin","bin_no","trial","muscle","rms"
"277","pp1","stimtype2","bin_6",6,"trial5","brow",1.2457
"278","pp1","stimtype2","bin_6",6,"trial5","cheek",6.3392
"279","pp1","stimtype2","bin_7",7,"trial5","brow",2.0928
"280","pp1","stimtype2","bin_7",7,"trial5","cheek",5.5573
"281","pp1","stimtype2","bin_8",8,"trial5","brow",2.4269
"282","pp1","stimtype2","bin_8",8,"trial5","cheek",5.9379
"283","pp1","stimtype2","bin_9",9,"trial5","brow",2.4496
"284","pp1","stimtype2","bin_9",9,"trial5","cheek",5.923
"285","pp1","stimtype2","bin_10",10,"trial5","brow",22.2281
"286","pp1","stimtype2","bin_10",10,"trial5","cheek",31.9579
"287","pp1","stimtype2","bin_0",0,"trial6","brow",2.1834
"288","pp1","stimtype2","bin_0",0,"trial6","cheek",5.274
"289","pp1","stimtype2","bin_1",1,"trial6","brow",1.6719
"290","pp1","stimtype2","bin_1",1,"trial6","cheek",6.1766
"291","pp1","stimtype2","bin_2",2,"trial6","brow",3.9375
"292","pp1","stimtype2","bin_2",2,"trial6","cheek",7.1366
"293","pp1","stimtype2","bin_3",3,"trial6","brow",3.0858
"294","pp1","stimtype2","bin_3",3,"trial6","cheek",5.48
"295","pp1","stimtype2","bin_4",4,"trial6","brow",1.4875
"296","pp1","stimtype2","bin_4",4,"trial6","cheek",5.2911
"297","pp1","stimtype2","bin_5",5,"trial6","brow",1.5688
"298","pp1","stimtype2","bin_5",5,"trial6","cheek",5.5443
"299","pp1","stimtype2","bin_6",6,"trial6","brow",1.9577
"300","pp1","stimtype2","bin_6",6,"trial6","cheek",5.1666
"301","pp1","stimtype2","bin_7",7,"trial6","brow",2.5006
"302","pp1","stimtype2","bin_7",7,"trial6","cheek",4.9868
"303","pp1","stimtype2","bin_8",8,"trial6","brow",1.6993
"304","pp1","stimtype2","bin_8",8,"trial6","cheek",7.7501
"305","pp1","stimtype2","bin_9",9,"trial6","brow",1.2637
"306","pp1","stimtype2","bin_9",9,"trial6","cheek",6.2026
"307","pp1","stimtype2","bin_10",10,"trial6","brow",1.4206
"308","pp1","stimtype2","bin_10",10,"trial6","cheek",6.5784
"309","pp1","stimtype2","bin_0",0,"trial7","brow",2.2081
"310","pp1","stimtype2","bin_0",0,"trial7","cheek",6.9677
"311","pp1","stimtype2","bin_1",1,"trial7","brow",2.4251
"312","pp1","stimtype2","bin_1",1,"trial7","cheek",7.4076
"313","pp1","stimtype2","bin_2",2,"trial7","brow",4.0105
"314","pp1","stimtype2","bin_2",2,"trial7","cheek",6.3028
"315","pp1","stimtype2","bin_3",3,"trial7","brow",3.2411
"316","pp1","stimtype2","bin_3",3,"trial7","cheek",7.8596
"317","pp1","stimtype2","bin_4",4,"trial7","brow",1.6531
"318","pp1","stimtype2","bin_4",4,"trial7","cheek",5.2186
"319","pp1","stimtype2","bin_5",5,"trial7","brow",3.268
"320","pp1","stimtype2","bin_5",5,"trial7","cheek",6.9327
"321","pp1","stimtype2","bin_6",6,"trial7","brow",1.3591
"322","pp1","stimtype2","bin_6",6,"trial7","cheek",4.3894
"323","pp1","stimtype2","bin_7",7,"trial7","brow",1.6426
"324","pp1","stimtype2","bin_7",7,"trial7","cheek",5.1772
"325","pp1","stimtype2","bin_8",8,"trial7","brow",1.8541
"326","pp1","stimtype2","bin_8",8,"trial7","cheek",5.9125
"327","pp1","stimtype2","bin_9",9,"trial7","brow",2.1573
"328","pp1","stimtype2","bin_9",9,"trial7","cheek",5.2473
"329","pp1","stimtype2","bin_10",10,"trial7","brow",1.7602
"330","pp1","stimtype2","bin_10",10,"trial7","cheek",5.3128
"331","pp1","stimtype2","bin_0",0,"trial8","brow",1.871
"332","pp1","stimtype2","bin_0",0,"trial8","cheek",6.6819
"333","pp1","stimtype2","bin_1",1,"trial8","brow",2.2365
"334","pp1","stimtype2","bin_1",1,"trial8","cheek",8.9315
"335","pp1","stimtype2","bin_2",2,"trial8","brow",1.5455
"336","pp1","stimtype2","bin_2",2,"trial8","cheek",10.0543
"337","pp1","stimtype2","bin_3",3,"trial8","brow",1.5283
"338","pp1","stimtype2","bin_3",3,"trial8","cheek",19.0026
"339","pp1","stimtype2","bin_4",4,"trial8","brow",3.4418
"340","pp1","stimtype2","bin_4",4,"trial8","cheek",48.4176
"341","pp1","stimtype2","bin_5",5,"trial8","brow",2.9475
"342","pp1","stimtype2","bin_5",5,"trial8","cheek",12.751
"343","pp1","stimtype2","bin_6",6,"trial8","brow",2.3037
"344","pp1","stimtype2","bin_6",6,"trial8","cheek",6.2943
"345","pp1","stimtype2","bin_7",7,"trial8","brow",4.0133
"346","pp1","stimtype2","bin_7",7,"trial8","cheek",7.8063
"347","pp1","stimtype2","bin_8",8,"trial8","brow",1.574
"348","pp1","stimtype2","bin_8",8,"trial8","cheek",8.1328
"349","pp1","stimtype2","bin_9",9,"trial8","brow",2.2507
"350","pp1","stimtype2","bin_9",9,"trial8","cheek",8.5836
"351","pp1","stimtype2","bin_10",10,"trial8","brow",1.5829
"352","pp1","stimtype2","bin_10",10,"trial8","cheek",12.9551
"353","pp2","stimtype1","bin_0",0,"trial1","brow",8.5221
"354","pp2","stimtype1","bin_0",0,"trial1","cheek",1.9535
"355","pp2","stimtype1","bin_1",1,"trial1","brow",8.2598
"356","pp2","stimtype1","bin_1",1,"trial1","cheek",1.8241
"357","pp2","stimtype1","bin_2",2,"trial1","brow",6.6814
"358","pp2","stimtype1","bin_2",2,"trial1","cheek",2.2679
"359","pp2","stimtype1","bin_3",3,"trial1","brow",5.7659
"360","pp2","stimtype1","bin_3",3,"trial1","cheek",4.0747
"361","pp2","stimtype1","bin_4",4,"trial1","brow",9.5159
"362","pp2","stimtype1","bin_4",4,"trial1","cheek",1.7161
"363","pp2","stimtype1","bin_5",5,"trial1","brow",7.4344
"364","pp2","stimtype1","bin_5",5,"trial1","cheek",1.8961
"365","pp2","stimtype1","bin_6",6,"trial1","brow",8.092
"366","pp2","stimtype1","bin_6",6,"trial1","cheek",2.015
